,Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
264,LEXUS LX 570,5.7,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
265,LEXUS NX 300,2.0,Gasoline,22.0,28.0,25.0,5,9.35308,11.903920000000001,10.6285
266,LEXUS NX 300,2.0,Gasoline,22.0,28.0,24.0,5,9.35308,11.903920000000001,10.20336
267,LEXUS NX 300 F Sport,2.0,Gasoline,22.0,27.0,24.0,5,9.35308,11.47878,10.20336
268,LINCOLN Continental,3.7,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
269,LINCOLN Continental,3.7,Gasoline,16.0,24.0,19.0,3,6.80224,10.20336,8.07766
270,LINCOLN MKC,2.3,Gasoline,18.0,25.0,20.0,4,7.65252,10.6285,8.5028
271,LINCOLN MKT,3.5,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
272,LINCOLN MKT,3.7,Gasoline,16.0,24.0,19.0,3,6.80224,10.20336,8.07766
273,LINCOLN MKT Livery,3.7,Gasoline,16.0,23.0,18.0,3,6.80224,9.778220000000001,7.65252
274,MAZDA 2,1.5,Gasoline,30.0,39.0,34.0,8,12.7542,16.580460000000002,14.45476
275,MAZDA 2,1.5,Gasoline,32.0,40.0,35.0,8,13.60448,17.0056,14.879900000000001
276,MAZDA 6,2.5,Gasoline,23.0,31.0,26.0,5,9.778220000000001,13.17934,11.05364
277,MAZDA CX-3,2.0,Gasoline,29.0,34.0,31.0,7,12.32906,14.45476,13.17934
278,MAZDA CX-3,2.0,Gasoline,27.0,32.0,29.0,6,11.47878,13.60448,12.32906
279,MAZDA CX-5 2WD,2.5,Gasoline,23.0,28.0,25.0,5,9.778220000000001,11.903920000000001,10.6285
280,MAZDA CX-5 4WD,2.5,Gasoline,22.0,27.0,24.0,5,9.35308,11.47878,10.20336
281,MAZDA CX-9,2.5,Gasoline,22.0,28.0,24.0,5,9.35308,11.903920000000001,10.20336
282,MAZDA CX-9,2.5,Gasoline,20.0,26.0,23.0,5,8.5028,11.05364,9.778220000000001
283,MAZDA MX-5,2.0,Gasoline,26.0,34.0,29.0,6,11.05364,14.45476,12.32906
284,MAZDA MX-5,2.0,Gasoline,26.0,35.0,30.0,7,11.05364,14.879900000000001,12.7542
285,MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
286,MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
287,MERCEDES-BENZ AMG C63,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
288,MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
289,MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
290,MERCEDES-BENZ AMG C63,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
291,MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
292,MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
293,MERCEDES-BENZ AMG C63 S,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
294,MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
295,MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
296,MERCEDES-BENZ AMG C63 S,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
297,MERCEDES-BENZ AMG CLA45 4Matic,2.0,Gasoline,23.0,30.0,26.0,5,9.778220000000001,12.7542,11.05364
298,MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
299,MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
300,MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
301,MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
302,MERCEDES-BENZ AMG G63,4.0,Gasoline,13.0,15.0,14.0,1,5.52682,6.3771,5.951960000000001
303,MERCEDES-BENZ AMG GLA45 4Matic,2.0,Gasoline,22.0,28.0,25.0,5,9.35308,11.903920000000001,10.6285
304,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
305,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
306,MERCEDES-BENZ AMG GLE63,5.5,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
307,MERCEDES-BENZ AMG GLE63 S,5.5,Gasoline,14.0,18.0,15.0,2,5.951960000000001,7.65252,6.3771
308,MERCEDES-BENZ AMG GLE63 S,5.5,Gasoline,14.0,18.0,15.0,2,5.951960000000001,7.65252,6.3771
309,MERCEDES-BENZ AMG GLS63,5.5,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
310,MERCEDES-BENZ AMG GT,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
311,MERCEDES-BENZ AMG GT,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
312,MERCEDES-BENZ AMG GT C,4.0,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
313,MERCEDES-BENZ AMG GT C,4.0,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
314,MERCEDES-BENZ AMG GT R,4.0,Gasoline,15.0,20.0,17.0,3,6.3771,8.5028,7.22738
315,MERCEDES-BENZ AMG GT R,4.0,Gasoline,15.0,20.0,17.0,3,6.3771,8.5028,7.22738
316,MERCEDES-BENZ AMG GT S,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
317,MERCEDES-BENZ AMG GT S,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
318,MERCEDES-BENZ AMG S65,6.0,Gasoline,13.0,22.0,16.0,2,5.52682,9.35308,6.80224
319,MERCEDES-BENZ AMG S65,6.0,Gasoline,13.0,21.0,16.0,2,5.52682,8.92794,6.80224
320,MERCEDES-BENZ AMG S65,6.0,Gasoline,14.0,21.0,16.0,2,5.951960000000001,8.92794,6.80224
321,MERCEDES-BENZ AMG SL63,5.5,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
322,MERCEDES-BENZ G550,4.0,Gasoline,13.0,17.0,14.0,1,5.52682,7.22738,5.951960000000001
323,MERCEDES-BENZ GLE400 4Matic,3.0,Gasoline,17.0,23.0,20.0,4,7.22738,9.778220000000001,8.5028
324,MERCEDES-BENZ GLS450 4Matic,3.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
325,MERCEDES-BENZ GLS550 4Matic,4.7,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
326,MERCEDES-BENZ Maybach S650,6.0,Gasoline,13.0,21.0,16.0,2,5.52682,8.92794,6.80224
327,MERCEDES-BENZ S450,3.0,Gasoline,19.0,28.0,22.0,4,8.07766,11.903920000000001,9.35308
